Inspection ID,License #,DBA Name,Facility Type,Risk,City,State,Results
1497185,2231686,jimmy's food & deli,grocery store,risk 2 (medium),chicago,il,pass w/ conditions
1496864,1144384,jewel food store #4043,grocery store,risk 1 (high),chicago,il,fail
2608080,2622213,someria food mart inc.,grocery store,risk 2 (medium),chicago,il,out of business
1497464,26296,r g lee corp,restaurant,risk 1 (high),chicago,il,pass w/ conditions
1092870,43648,new tokyo,restaurant,risk 1 (high),chicago,il,pass
1106347,31081,gale community academy,school,risk 1 (high),chicago,il,fail
2608059,2977507,elizabeth's rainbow kids academy,daycare above and under 2 years,risk 1 (high),chicago,il,pass
2608065,2501826,komorebi,restaurant,risk 1 (high),chicago,il,pass
2608063,2206654,the hartwell,long term care,risk 1 (high),chicago,il,pass
1106298,1043532,"little people's day care & kindergarten, inc.",daycare (2 - 6 years),risk 1 (high),chicago,il,fail
1106517,2240156,peterson bp,grocery store,risk 3 (low),chicago,il,fail
2608055,2510693,do-rite donuts,restaurant,risk 1 (high),chicago,il,pass
2608056,2374778,cocoa & co,restaurant,risk 2 (medium),chicago,il,out of business
1114672,2088943,brasserie by lm,restaurant,risk 1 (high),chicago,il,pass
1138432,2179116,sunny side up,restaurant,risk 1 (high),chicago,il,pass
1230075,2055437,george's grill kabab inc,restaurant,risk 1 (high),chicago,il,pass
2608045,2762752,7-eleven #36881j,grocery store,risk 2 (medium),chicago,il,out of business
1285423,2189028,pita xpress grill,restaurant,risk 1 (high),chicago,il,pass
1448019,1592120,trader joe's east,grocery store,risk 2 (medium),chicago,il,pass
1435009,46041,bogan high school,school,risk 1 (high),chicago,il,pass
1447759,2313695,jimmy buffett's margaritaville bar & grill,restaurant,risk 1 (high),chicago,il,pass
2608014,1095962,la pena,restaurant,risk 1 (high),chicago,il,no entry
2608021,1697768,26th street sugar shack,restaurant,risk 2 (medium),chicago,il,pass
2608028,2374778,cocoa & co,restaurant,risk 2 (medium),chicago,il,pass
1385710,1905309,ponce,restaurant,risk 1 (high),chicago,il,fail
1385696,2350055,has management,restaurant,risk 2 (medium),chicago,il,fail
1473915,34343,harold's chicken shack #35,restaurant,risk 2 (medium),chicago,il,pass w/ conditions
1547154,15622,original pancake house,restaurant,risk 1 (high),chicago,il,pass
1474145,2032271,el salvador restaurant,restaurant,risk 1 (high),chicago,il,fail
1418236,3742,dunkin donuts,restaurant,risk 2 (medium),chicago,il,pass
2607996,1905245,feyrous pastries,grocery store,risk 1 (high),chicago,il,pass
1418362,2263153,hunan wok,restaurant,risk 1 (high),chicago,il,pass
1418530,1981908,queen of all saints,school,risk 1 (high),chicago,il,pass
1434476,2314199,el super taco loco,restaurant,risk 1 (high),chicago,il,pass
1491202,65404,mc donald's,restaurant,risk 2 (medium),chicago,il,fail
2607966,2814049,c'belle's sandwiches and more,restaurant,risk 1 (high),chicago,il,out of business
2607975,2703551,dreamers academy llc,children's services facility,risk 1 (high),chicago,il,pass
1493373,1740605,sunshine foods,restaurant,risk 1 (high),chicago,il,fail
1562034,1226923,paddy long's,restaurant,risk 2 (medium),chicago,il,pass
1441232,2231808,flagship tavern & grill,restaurant,risk 1 (high),chicago,il,pass
1459699,1475509,kmart #3594,restaurant,risk 2 (medium),chicago,il,pass w/ conditions
1493478,22697,new warsaw restaurant,restaurant,risk 1 (high),chicago,il,pass
1497413,1514318,sushi lounge,restaurant,risk 1 (high),chicago,il,pass w/ conditions
1482685,4025,romanian kosher sausage co,grocery store,risk 2 (medium),chicago,il,pass
2607931,2516920,jewel food store #3234,grocery store,risk 1 (high),chicago,il,pass
2607924,1963537,"little caesar enterprises, inc.",restaurant,risk 2 (medium),chicago,il,pass
2607929,2997327,bodeanz,restaurant,risk 1 (high),chicago,il,pass
1490716,1799063,amc theatres ford city 14,restaurant,risk 2 (medium),chicago,il,pass
1501395,41768,super carniceria el pollo,grocery store,risk 1 (high),chicago,il,fail
1950924,1165799,"aramark educational services, inc",restaurant,risk 1 (high),chicago,il,pass
1950819,9344,mexico steak house,restaurant,risk 1 (high),chicago,il,pass
1953727,1933945,new rebozo chicago,restaurant,risk 1 (high),chicago,il,pass
1961034,61695,la  michoacana,restaurant,risk 1 (high),chicago,il,fail
1965621,1766380,drake hotel,restaurant,risk 1 (high),chicago,il,pass
2607877,2215467,carole robertson center for learning,daycare combo 1586,risk 1 (high),chicago,il,pass
2607879,2749647,legends chicken & fish cafe,restaurant,risk 2 (medium),chicago,il,fail
1494029,2333153,red lobster #0277,restaurant,risk 1 (high),chicago,il,pass
1502127,2363817,el supermercado martinez,grocery store,risk 2 (medium),chicago,il,pass
